Datetime,Vessel,SPEED THROUGH WATER,SPEED OVER GROUND KNOTS,SHAFT POWER,SHAFT SPEED,SHAFT TORQUE,TRUE WIND SPEED,TRUE WIND DIRECTION,HEADING TRUE,COURSE OVER GROUND TRUE,DRAFT FWD LEVEL,DRAFT AFT LEVEL,DRAFT MIDSHIP PORT LEVEL,DRAFT MIDSHIP STBD LEVEL,ME SLIP INSTANT,Latitude,Longitude,Date,Condition,From,To,Trim,Displacement,Draft_For,Draft_Aft,wave_height,wave_peak_period,wave_period,wave_direction,ocean_current_velocity,ocean_current_direction,weather_source_datetime,weather_source_latitude,weather_source_longitude,wave_height_source_model,wave_peak_period_source_model,wave_period_source_model,wave_direction_source_model,ocean_current_velocity_source_model,ocean_current_direction_source_model
2023-11-15 06:00:00+00:00,Gertrude,0.2736842105263158,0.0403508771929824,,0.0,0.0,4.892649247462158,46.9927873668052,85.2785225174245,65.78245614035089,0.3725490196078431,0.631578947368421,0.0,5.368421052631579,,0.4927722222222221,117.66103157051283,2023-11-15 00:00:00+00:00,,,,,,,,0.18000000715255737,9.949999809265137,3.450000047683716,80.0,0.0707106813788414,224.99989318847656,2023-11-15 06:00:00+00:00,0.4927722222222221,117.66103157051283,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 07:00:00+00:00,Gertrude,0.4464220183486239,0.0474137931034482,,0.0,0.0,6.415832534374443,28.17501836480335,95.08860390659912,177.5016949152542,5.0,6.0,0.0847457627118644,0.0,,0.4930677118644068,117.66105361823362,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,9.949999809265137,3.25,88.0,0.0707106813788414,224.99989318847656,2023-11-15 07:00:00+00:00,0.4930677118644068,117.66105361823362,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 08:00:00+00:00,Gertrude,0.1800847457627118,0.0381355932203389,,0.0,0.0,6.209966436908839,48.86509816164255,99.39870595718946,216.6326923076923,5.0,6.0,0.8050847457627118,0.6101694915254238,,0.4931732627118643,117.66110084057972,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,9.949999809265137,3.200000047683716,88.0,0.0707106813788414,224.99989318847656,2023-11-15 08:00:00+00:00,0.4931732627118643,117.66110084057972,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 09:00:00+00:00,Gertrude,0.1795652173913043,0.0564102564102564,,0.0,0.0,5.613303819571812,65.55542018947938,86.36903664726975,178.54017094017095,5.0,6.119658119658119,1.0,1.0,,0.4927780911680911,117.66114575498575,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.4000000953674316,3.1500000953674316,80.0,0.0707106813788414,224.99989318847656,2023-11-15 09:00:00+00:00,0.4927780911680911,117.66114575498575,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 10:00:00+00:00,Gertrude,0.124051724137931,0.0456896551724137,,0.0,0.0,5.249676803446859,45.90624850696145,80.52646343657159,151.7318965517241,5.0,7.0,1.0,1.0,,0.4925772270114942,117.66116472463769,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.4000000953674316,3.1500000953674316,75.0,0.05000000074505806,180.0,2023-11-15 10:00:00+00:00,0.4925772270114942,117.66116472463769,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 11:00:00+00:00,Gertrude,-0.0397391304347826,0.1234782608695652,,0.0,0.0,4.255949980890013,43.67679191802637,67.17604855315864,154.23714285714289,5.0,7.0,1.0,1.0,,0.4921626231884057,117.661371,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.4000000953674316,3.1500000953674316,76.0,0.05000000074505806,180.0,2023-11-15 11:00:00+00:00,0.4921626231884057,117.661371,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 12:00:00+00:00,Gertrude,0.2139130434782608,0.0940677966101695,,0.0,0.0,0.5278976141935842,126.6995304873127,3.2270967484564608,89.51443298969072,5.0,7.0,1.6016949152542372,1.0,,0.4910986578171091,117.66315721751415,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.4000000953674316,3.1500000953674316,76.0,0.0,90.0,2023-11-15 12:00:00+00:00,0.4910986578171091,117.66315721751415,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 13:00:00+00:00,Gertrude,0.3212711864406779,0.0262711864406779,,0.0,0.0,1.3821904647362049,103.13411788375883,352.99119553249045,134.17372881355934,5.0,7.0,2.0,1.0,,0.4910306920903955,117.66350337837838,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.4000000953674316,3.200000047683716,76.0,0.0,90.0,2023-11-15 13:00:00+00:00,0.4910306920903955,117.66350337837838,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 14:00:00+00:00,Gertrude,0.3866379310344827,0.1051724137931034,,0.0,0.0,1.6702384790012177,96.44964448228392,352.41505424791853,253.716,5.0,7.0,1.922413793103448,1.0,,0.4910240804597701,117.66345308908048,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.4000000953674316,3.1500000953674316,73.0,0.05000000074505806,180.0,2023-11-15 14:00:00+00:00,0.4910240804597701,117.66345308908048,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 15:00:00+00:00,Gertrude,0.3071428571428571,0.2264957264957265,,0.0,0.0,6.083443990560576,35.55971002151961,61.07046453337847,213.4094017094017,5.0,7.0,2.0,1.0,,0.4919184330484329,117.66132057098764,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.4000000953674316,3.0999999046325684,68.0,0.05000000074505806,180.0,2023-11-15 15:00:00+00:00,0.4919184330484329,117.66132057098764,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 16:00:00+00:00,Gertrude,0.2853211009174312,0.1194915254237288,,0.0,0.0,7.049247154368199,15.140651436209168,72.22660139428956,151.29204545454547,5.0,7.0,1.6101694915254237,1.0,,0.4921572175141243,117.66121851694916,2023-11-15 00:00:00+00:00,,,,,,,,0.2199999988079071,2.450000047683716,3.0999999046325684,64.0,0.05000000074505806,180.0,2023-11-15 16:00:00+00:00,0.4921572175141243,117.66121851694916,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 17:00:00+00:00,Gertrude,0.228,0.0808333333333333,,0.0,0.0,3.75819910847741,332.3507306867943,53.18880444039689,141.94767441860463,5.0,7.0,2.0,1.2166666666666666,,0.4916149722222221,117.66161666666667,2023-11-15 00:00:00+00:00,,,,,,,,0.2199999988079071,2.450000047683716,3.0999999046325684,62.0,0.05000000074505806,180.0,2023-11-15 17:00:00+00:00,0.4916149722222221,117.66161666666667,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 18:00:00+00:00,Gertrude,0.177433628318584,0.0631578947368421,,0.0,0.0,6.373244452246529,325.90501029051933,24.78190851160161,131.7462365591398,5.0,7.657894736842105,2.0,2.0,,0.4910485233918129,117.66240334795322,2023-11-15 00:00:00+00:00,,,,,,,,0.2199999988079071,2.450000047683716,3.0999999046325684,59.0,0.05000000074505806,180.0,2023-11-15 18:00:00+00:00,0.4910485233918129,117.66240334795322,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 19:00:00+00:00,Gertrude,0.1495614035087719,0.0403508771929824,,0.0,0.0,5.780917305010771,343.65463773573003,25.82916766811604,158.5973684210527,5.0,8.0,2.254385964912281,2.0,,0.4910368421052631,117.6623540327381,2023-11-15 00:00:00+00:00,,,,,,,,0.2199999988079071,2.450000047683716,3.1500000953674316,57.0,0.05000000074505806,180.0,2023-11-15 19:00:00+00:00,0.4910368421052631,117.6623540327381,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 20:00:00+00:00,Gertrude,0.1536363636363636,0.0660869565217391,,0.0,0.0,4.516879257724071,334.3113774412189,7.744728069245866,110.16608695652174,5.0,8.0,3.0,2.0,,0.490948115942029,117.6629473768116,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.450000047683716,3.200000047683716,56.0,0.05000000074505806,180.0,2023-11-15 20:00:00+00:00,0.490948115942029,117.6629473768116,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 21:00:00+00:00,Gertrude,0.0336440677966101,0.1512605042016808,,0.0,0.0,5.021654686932456,358.78232580799425,330.0768758212471,71.2780701754386,5.0,8.0,2.899159663865546,2.6218487394957983,,0.491358837535014,117.66407455182072,2023-11-15 00:00:00+00:00,,,,,,,,0.20000000298023224,2.5,3.25,55.0,0.05000000074505806,180.0,2023-11-15 21:00:00+00:00,0.491358837535014,117.66407455182072,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 22:00:00+00:00,Gertrude,0.3570093457943925,0.0589743589743589,,0.0,0.0,6.3761972921241705,30.016849406932977,277.58095005436104,172.9888888888889,5.0,8.145299145299145,3.0,3.0,,0.492497735042735,117.66510685185185,2023-11-15 00:00:00+00:00,,,,,,,,0.18000000715255737,2.5,3.4000000953674316,50.0,0.05000000074505806,180.0,2023-11-15 22:00:00+00:00,0.492497735042735,117.66510685185185,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-15 23:00:00+00:00,Gertrude,0.3942241379310344,0.0228813559322033,,0.0,0.0,1.683332164899565,19.35687230821856,277.36006368576074,160.78728813559317,5.966101694915254,9.0,3.610169491525424,3.0,,0.492543085106383,117.66516632768362,2023-11-15 00:00:00+00:00,,,,,,,,0.18000000715255737,2.549999952316284,3.5,51.0,0.05000000074505806,180.0,2023-11-15 23:00:00+00:00,0.492543085106383,117.66516632768362,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 00:00:00+00:00,Gertrude,0.4238461538461538,0.0837606837606837,,0.0,0.0,2.7767832915580835,51.91480126267544,293.25861209510765,212.80940170940173,6.0,9.0,4.0,3.0,,0.4919744729344729,117.66499149572653,2023-11-16 00:00:00+00:00,,,,,,,,0.18000000715255737,2.5999999046325684,3.5,52.0,0.0707106813788414,135.00009155273438,2023-11-16 00:00:00+00:00,0.4919744729344729,117.66499149572653,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 01:00:00+00:00,Gertrude,0.3631623931623931,0.0615384615384615,,0.1852991452991453,0.0,0.8893680005269663,90.906680278495,313.7786538510299,212.61025641025643,6.0,9.0,4.0,3.0,,0.4913741168091167,117.66459678062678,2023-11-16 00:00:00+00:00,,,,,,,,0.18000000715255737,9.800000190734863,3.549999952316284,54.0,0.0707106813788414,135.00009155273438,2023-11-16 01:00:00+00:00,0.4913741168091167,117.66459678062678,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 02:00:00+00:00,Gertrude,0.405204081632653,0.0484848484848484,833.0,3.1989224137931034,87.24137931034483,1.7151486225659218,116.77207396034106,328.3598721546461,204.146551724138,6.0,9.0,4.0,3.0,67.76302303120175,0.4912075985663082,117.66433848039216,2023-11-16 00:00:00+00:00,,,,,,,,0.1599999964237213,9.800000190734863,3.6500000953674316,56.0,0.0707106813788414,135.00009155273438,2023-11-16 02:00:00+00:00,0.4912075985663082,117.66433848039216,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 03:00:00+00:00,Gertrude,1.1273275862068963,0.8603448275862065,754.1818181818181,7.367198275862069,39.241379310344826,4.024102498563213,151.10580419900617,355.640593556234,142.80431034482757,6.0,9.0,4.0,3.0,53.23787024346111,0.5042493617021278,117.66134227011496,2023-11-16 00:00:00+00:00,,,,,,,,0.1599999964237213,9.75,3.75,58.0,0.0707106813788414,135.00009155273438,2023-11-16 03:00:00+00:00,0.5042493617021278,117.66134227011496,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 04:00:00+00:00,Gertrude,0.3159459459459459,0.0642201834862385,,0.0,0.0,4.329324640413311,165.3296729638007,338.99573994086467,119.77350427350426,6.0,9.0,4.0,3.0,,0.5046734672619048,117.6618777777778,2023-11-16 00:00:00+00:00,,,,,,,,0.1599999964237213,9.75,3.75,62.0,0.05000000074505806,180.0,2023-11-16 04:00:00+00:00,0.5046734672619048,117.6618777777778,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 05:00:00+00:00,Gertrude,0.2169230769230768,0.1188034188034188,,0.0,0.0,9.479073503415082,237.0855506081028,284.2096301864888,144.38290598290598,6.0,9.0,4.0,3.333333333333333,,0.5059909971509972,117.66239931623932,2023-11-16 00:00:00+00:00,,,,,,,,0.1599999964237213,9.699999809265137,3.8499999046325684,64.0,0.0707106813788414,44.9998779296875,2023-11-16 05:00:00+00:00,0.5059909971509972,117.66239931623932,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 06:00:00+00:00,Gertrude,-0.0549565217391304,0.182051282051282,,0.0,0.0,10.318450890698289,333.11711834784103,245.46109657915588,217.3418803418803,5.0256410256410255,9.0,4.0,3.034188034188034,,0.507397678062678,117.66326685185186,2023-11-16 00:00:00+00:00,,,,,,,,0.1599999964237213,9.699999809265137,3.75,76.0,0.0707106813788414,44.9998779296875,2023-11-16 06:00:00+00:00,0.507397678062678,117.66326685185186,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 07:00:00+00:00,Gertrude,0.1337931034482758,0.1448598130841121,,0.0,0.0,4.305200015325136,9.941161912262489,187.7152224971802,270.3519607843138,6.0,9.0,4.0,3.034482758620689,,0.5083959051724137,117.66166537356322,2023-11-16 00:00:00+00:00,,,,,,,,0.18000000715255737,9.699999809265137,3.450000047683716,90.0,0.0707106813788414,44.9998779296875,2023-11-16 07:00:00+00:00,0.5083959051724137,117.66166537356322,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 08:00:00+00:00,Gertrude,0.2798198198198198,0.0672413793103448,,0.0,0.0,2.0197633339109933,75.61338443893982,134.51679442458442,186.36637931034485,6.0,9.0,4.0,3.0086206896551726,,0.5079391235632185,117.66012988505749,2023-11-16 00:00:00+00:00,,,,,,,,0.18000000715255737,8.75,3.4000000953674316,97.0,0.0707106813788414,44.9998779296875,2023-11-16 08:00:00+00:00,0.5079391235632185,117.66012988505749,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 09:00:00+00:00,Gertrude,0.2596581196581197,0.0264957264957264,,0.0,0.0,2.612911124184336,23.75398775165081,125.45872399334696,213.5939655172414,6.0,9.0,4.0,3.034188034188034,,0.5076250595238095,117.65987304843306,2023-11-16 00:00:00+00:00,,,,,,,,0.20000000298023224,2.25,3.1500000953674316,103.0,0.0707106813788414,44.9998779296875,2023-11-16 09:00:00+00:00,0.5076250595238095,117.65987304843306,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 10:00:00+00:00,Gertrude,0.2145689655172413,0.0224137931034482,,0.0,0.0,0.0224137931034482,6.119256779585783,116.02862277794634,144.71941747572816,5.293103448275862,9.0,4.0,3.0,,0.5073805890804597,117.65976406609197,2023-11-16 00:00:00+00:00,,,,,,,,0.20000000298023224,2.25,3.1500000953674316,110.0,0.0707106813788414,44.9998779296875,2023-11-16 10:00:00+00:00,0.5073805890804597,117.65976406609197,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 11:00:00+00:00,Gertrude,0.1157758620689655,0.1232758620689654,,0.0,0.0,0.073394495412844,295.5887888997987,93.9435923034489,175.0238938053097,5.0,9.0,4.0,3.0,,0.5066414942528735,117.65966845911952,2023-11-16 00:00:00+00:00,,,,,,,,0.2199999988079071,2.25,3.0999999046325684,104.0,0.0,90.0,2023-11-16 11:00:00+00:00,0.5066414942528735,117.65966845911952,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 12:00:00+00:00,Gertrude,0.1142982456140351,0.1666666666666666,,0.0,0.0,0.1605263157894736,261.1756541898606,12.161063152568149,106.545,5.456140350877193,9.0,4.0,3.6140350877192975,,0.5047561620795107,117.66122565789476,2023-11-16 00:00:00+00:00,,,,,,,,0.2199999988079071,2.3499999046325684,3.049999952316284,98.0,0.0,90.0,2023-11-16 12:00:00+00:00,0.5047561620795107,117.66122565789476,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 13:00:00+00:00,Gertrude,0.2478448275862068,0.0112068965517241,,0.0,0.0,6.132815366612495,1.6912109363057084,338.0457493413217,164.43362068965513,6.0,9.0,4.0,4.0,,0.5045834051724138,117.66235334782608,2023-11-16 00:00:00+00:00,,,,,,,,0.2199999988079071,2.4000000953674316,3.049999952316284,94.0,0.11180340498685837,63.43499755859375,2023-11-16 13:00:00+00:00,0.5045834051724138,117.66235334782608,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 14:00:00+00:00,Gertrude,0.4271551724137931,0.0517241379310344,,0.0,0.0,4.379840170163976,351.224466658415,325.2213743213936,155.873275862069,6.0,9.0,4.008620689655173,4.017241379310345,,0.504791422413793,117.66276537356322,2023-11-16 00:00:00+00:00,,,,,,,,0.2199999988079071,2.4000000953674316,3.0999999046325684,92.0,0.10000000149011612,90.0,2023-11-16 14:00:00+00:00,0.504791422413793,117.66276537356322,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2023-11-16 15:00:00+00:00,Gertrude,0.4800000000000001,0.0568965517241379,,0.0,0.0,2.7057420365104083,304.63072977780865,336.23801546031194,236.69809523809528,6.474137931034483,9.0,4.887931034482759,4.474137931034483,,0.5046019345238095,117.66243795977012,2023-11-16 00:00:00+00:00,,,,,,,,0.2199999988079071,2.3499999046325684,3.1500000953674316,88.0,0.10000000149011612,90.0,2023-11-16 15:00:00+00:00,0.5046019345238095,117.66243795977012,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
