Datetime,Vessel,SPEED THROUGH WATER,SPEED OVER GROUND KNOTS,SHAFT POWER,SHAFT SPEED,SHAFT TORQUE,TRUE WIND SPEED,TRUE WIND DIRECTION,HEADING TRUE,COURSE OVER GROUND TRUE,DRAFT FWD LEVEL,DRAFT AFT LEVEL,DRAFT MIDSHIP PORT LEVEL,DRAFT MIDSHIP STBD LEVEL,Latitude,Longitude,Date,Condition,From,To,Trim,Displacement,Draft_For,Draft_Aft,wave_height,wave_peak_period,wave_period,wave_direction,ocean_current_velocity,ocean_current_direction,weather_source_datetime,weather_source_latitude,weather_source_longitude,wave_height_source_model,wave_peak_period_source_model,wave_period_source_model,wave_direction_source_model,ocean_current_velocity_source_model,ocean_current_direction_source_model
2024-05-09 06:00:00+00:00,Heide,9.184516129032255,9.725876923076925,3412.3529411764707,41.91538461538461,778.8125,18.242066232035867,124.50109717370184,228.0907699752777,230.3353846153846,0.23221875,-0.0088125,-0.008015625,0.1509384615384615,-7.787178358974359,77.51466794871794,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.200000047683716,13.050000190734863,8.300000190734863,152.0,0.25495097041130066,281.3099060058594,2024-05-09 06:00:00+00:00,-7.787178358974359,77.51466794871794,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 07:00:00+00:00,Heide,9.259661016949154,9.821542372881355,3391.44262295082,41.91499999999999,771.781512605042,18.026540015080247,122.75929954402396,227.92252566511985,229.75217391304352,0.2317833333333334,-0.0078034188034188,-0.00845,0.0040583333333333,-7.8664004444444435,77.41535508333332,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.200000047683716,13.050000190734863,8.25,151.0,0.2692582309246063,291.8014831542969,2024-05-09 07:00:00+00:00,-7.8664004444444435,77.41535508333332,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 08:00:00+00:00,Heide,9.248067226890754,9.3262,3385.6721311475408,41.91999999999999,772.0420168067227,16.600466245561204,115.02888698042142,226.00416638177413,228.245,0.2318916666666667,-0.0072184873949579,-0.0089166666666666,0.0032166666666666,-7.969556819444445,77.29059580555555,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.200000047683716,13.050000190734863,8.199999809265137,150.0,0.3354102075099945,296.56500244140625,2024-05-09 08:00:00+00:00,-7.969556819444445,77.29059580555555,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 09:00:00+00:00,Heide,9.085126050420168,9.121900000000002,3405.0,41.89166666666665,776.2457627118644,16.677851759617905,123.0293977834998,225.97672307630657,228.46554621848745,0.2326416666666667,-0.0081833333333333,-0.0076666666666666,0.0013693693693693,-8.069348736111111,77.1716043888889,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.1600000858306885,9.0,8.149999618530273,149.0,0.42720019817352295,290.5561218261719,2024-05-09 09:00:00+00:00,-8.069348736111111,77.1716043888889,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 10:00:00+00:00,Heide,9.099333333333334,9.133033333333334,3401.9,41.89583333333333,775.0168067226891,17.00693568470705,122.78147317375216,225.99327747030563,229.3083333333333,0.2324583333333334,-0.0066218487394957,-0.0090333333333333,0.0016083333333333,-8.166822097222223,77.05215647222221,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.180000066757202,9.0,8.199999809265137,148.0,0.5852349996566772,289.9831848144531,2024-05-09 10:00:00+00:00,-8.166822097222223,77.05215647222221,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 11:00:00+00:00,Heide,9.05913793103448,9.19835,3410.8548387096776,41.90749999999999,776.7796610169491,17.558916950234792,120.6229142532672,225.9711702466198,229.7117647058824,0.2326666666666667,-0.0078416666666666,-0.0108823529411764,0.002475,-8.263380652777778,76.9316100277778,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.2200000286102295,8.699999809265137,8.149999618530273,145.0,0.6324555277824402,288.43505859375,2024-05-09 11:00:00+00:00,-8.263380652777778,76.9316100277778,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 12:00:00+00:00,Heide,9.087118644067797,9.339541666666666,3398.483333333333,41.9025,775.75,19.499178884162056,126.95166229078204,225.8644164875448,230.7495798319328,0.2326583333333333,-0.008,-0.0111583333333333,0.002175,-8.359973986111111,76.809056375,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.2200000286102295,8.649999618530273,8.149999618530273,145.0,0.6184658408164978,284.0362548828125,2024-05-09 12:00:00+00:00,-8.359973986111111,76.809056375,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 13:00:00+00:00,Heide,8.93230769230769,9.179789915966383,3458.45,41.8975,788.1,20.649166644365,132.09401407561052,224.0508307686128,229.7230769230769,0.29705,-0.0081512605042016,-0.0112689075630252,0.09015,-8.456607069444443,76.68558547222223,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.200000047683716,8.800000190734863,8.149999618530273,145.0,0.6184658408164978,284.0362548828125,2024-05-09 13:00:00+00:00,-8.456607069444443,76.68558547222223,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 14:00:00+00:00,Heide,8.847166666666665,9.154079207920793,3455.15,41.91499999999999,787.0083333333333,21.30361176889422,134.5424011945396,224.0450005748868,229.66186440677967,0.2336722689075631,-0.0083613445378151,0.0768833333333333,0.0864333333333333,-8.55322652777778,76.56455325,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.200000047683716,8.75,8.050000190734863,144.0,0.55901700258255,280.3047790527344,2024-05-09 14:00:00+00:00,-8.55322652777778,76.56455325,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
2024-05-09 15:00:00+00:00,Heide,8.945749999999999,9.356908333333337,3444.633333333333,41.898333333333326,784.9333333333333,20.49777213219405,126.47719938837815,223.92260722003175,230.2025,0.2335546218487396,0.0905,-0.0119999999999999,0.0832333333333333,-8.650365777777775,76.44201286111111,2024-05-09 00:00:00+00:00,ballast,,,4.12,117146.6,7.64,11.76,2.2200000286102295,8.699999809265137,8.0,144.0,0.55901700258255,280.3047790527344,2024-05-09 15:00:00+00:00,-8.650365777777775,76.44201286111111,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,ncep_gfswave016,era5_ocean,era5_ocean
